#META: VIDEO=Videos\MVI_1635.mp4, ROI=(659, 0, 130, 749), TIMESTAMP=20260113_182711
#OUTLIERS:
trajectory_id,point_index,frame_num,x,y
26,31,17904,732,725
27,0,19629,717,33
27,1,19630,717,47
27,2,19631,719,62
27,3,19632,720,79
27,4,19633,721,97
27,5,19634,720,114
27,6,19635,723,131
27,7,19636,723,150
27,8,19637,724,168
27,9,19638,724,189
27,10,19639,726,208
27,11,19640,729,229
27,12,19641,729,250
27,13,19642,726,269
27,14,19643,731,293
27,15,19644,730,313
27,16,19645,731,337
27,17,19646,731,360
27,18,19647,732,383
27,19,19648,733,407
27,20,19649,733,431
27,21,19650,734,456
27,22,19651,734,480
27,23,19652,735,505
27,24,19653,735,531
27,25,19654,735,557
27,26,19655,736,584
27,27,19656,736,610
27,28,19657,736,637
27,29,19658,736,665
27,30,19659,737,693
28,0,20176,709,33
28,1,20177,711,51
28,2,20178,710,67
28,3,20179,712,84
28,4,20180,709,102
28,5,20181,711,118
28,6,20182,711,140
28,7,20183,711,159
28,8,20184,714,180
28,9,20185,714,199
28,10,20186,715,219
28,11,20187,714,242
28,12,20188,715,263
28,13,20189,716,286
28,14,20190,717,309
28,15,20191,717,331
28,16,20192,718,354
28,17,20193,719,379
28,18,20194,721,403
28,19,20195,722,427
28,20,20196,724,452
28,21,20197,725,477
28,22,20198,726,503
28,23,20199,728,529
28,24,20200,728,555
28,25,20201,731,581
28,26,20202,731,608
28,27,20203,732,636
28,28,20204,734,664
28,29,20205,735,691
29,0,20764,715,36
29,1,20765,717,52
29,2,20766,718,65
29,3,20767,719,83
29,4,20768,719,101
29,5,20769,718,121
29,6,20770,720,138
29,7,20771,720,159
29,8,20772,722,178
29,9,20773,721,198
29,10,20774,718,217
29,11,20775,721,240
29,12,20776,721,261
29,13,20777,722,283
29,14,20778,722,305
29,15,20779,719,328
29,16,20780,721,351
29,17,20781,721,375
29,18,20782,719,398
29,19,20783,721,424
29,20,20784,723,449
29,21,20785,723,473
29,22,20786,724,499
29,23,20787,724,525
29,24,20788,724,551
29,25,20789,725,578
29,26,20790,726,605
29,27,20791,723,631
29,28,20792,725,661
29,29,20793,726,688
29,30,20794,727,716
30,0,21263,712,25
30,1,21264,712,39
30,2,21265,711,56
30,3,21266,713,70
30,4,21267,713,86
30,5,21268,714,104
30,6,21269,715,123
30,7,21270,716,142
30,8,21271,716,162
30,9,21272,716,182
30,10,21273,717,201
30,11,21274,718,221
30,12,21275,719,244
30,13,21276,718,265
30,14,21277,720,287
30,15,21278,719,309
30,16,21279,718,333
30,17,21280,718,356
30,18,21281,719,380
30,19,21282,718,404
30,20,21283,719,429
30,21,21284,720,453
30,22,21285,721,478
30,23,21286,721,504
30,24,21287,722,530
30,25,21288,721,556
30,26,21289,722,583
30,27,21290,723,611
30,28,21291,723,638
30,29,21292,724,666
30,30,21293,724,694
30,31,21294,725,722
31,0,21683,717,31
31,1,21684,715,47
31,2,21685,716,62
31,3,21686,716,78
31,4,21687,717,97
31,5,21688,716,116
31,6,21689,715,135
31,7,21690,716,154
31,8,21691,718,174
31,9,21692,717,194
31,10,21693,714,213
31,11,21694,717,237
31,12,21695,716,257
31,13,21696,715,278
31,14,21697,717,302
31,15,21698,715,325
31,16,21699,716,349
31,17,21700,716,372
31,18,21701,715,396
31,19,21702,717,420
31,20,21703,716,446
